cntdir,co_name,tolmt,fromlmt,route,mcd,comments,lat,adb,setyear,long,recordnum,indir,report,setdate,type,mun_name,road,outdir
south,Mercer,cr 635 e state st,raoul wallenberg blvd,0,3402174000,,40.220497,92,2015,-74.755367,112554,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112554,5/5/15,Bicycle 2,Trenton City,s clinton ave southbound lanes,N
north,Burlington,cr 532 tabernacle rd,trading post way,541,3400545210,,39.863783,20,2014,-74.806525,112303,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112303,8/13/14,Bicycle 2,Medford Lakes Borough,stokes rd northbound lanes,S
west,Gloucester,garwood blvd,turner st,610,3401513360,,39.6601,4,2014,-75.079617,112618,W,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112618,10/9/14,Bicycle 2,Clayton Borough,academy st westbound lane,E
north,Gloucester,old oak rd,cr 673 cedar rd,551,3401519180,,39.79061,7,2014,-75.237122,112609,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112609,10/20/14,Bicycle 2,East Greenwich Township,kings hwy northbound lanes,S
south,Gloucester,old oak rd,cr 673 cedar rd,551,3401519180,,39.790755,7,2014,-75.237173,112610,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112610,10/20/14,Bicycle 2,East Greenwich Township,kings hwy southbound lanes,N
north,Gloucester,center ave,west ave,47,3401580120,,39.868276,8,2014,-75.125126,112613,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112613,9/23/14,Bicycle 2,Westville Borough,delsea dr northbound lanes,S
east,Gloucester,memorial cir,girard rd n,322,3401526340,,39.70992,32,2014,-75.123667,112615,E,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112615,9/30/14,Bicycle 2,Glassboro Borough,best ave eastbound lanes,W
west,Gloucester,memorial cir,girard rd n,322,3401526340,,39.710002,103,2014,-75.123653,112616,W,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112616,9/30/14,Bicycle 2,Glassboro Borough,best ave westbound lanes,E
both,Camden,bridgewood ave,bilston ave,0,3400726070,,39.828917,313,2014,-74.965505,112538,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112538,9/11/14,Bicycle 2,Gibbsboro Borough,united states ave trail,N
both,Mercer,fiddlers creek rd,river rd,0,3402133180,,40.314939,340,2015,-74.892668,112556,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112556,5/6/15,Bicycle 2,Hopewell Township,D & R canal state park trail,N
west,Mercer,imperial dr,whitehorse hamilton square rd,0,3402129310,,40.224194,5,2015,-74.670829,112558,W,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112558,5/7/15,Bicycle 2,Hamilton Township,estates blvd westbound lanes,E
both,Camden,cr 612 browning rd,airport hwy,0,3400757660,,39.926494,94,2014,-75.076377,112559,W,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112559,9/3/14,Bicycle 2,Pennsauken Township,cooper river trail,E
north,Montgomery,greenwood ave,pa 611 old york rd,0,4209138000,,40.093705,4,2015,-75.124321,113189,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=113189,5/13/15,Bicycle 2,Jenkintown Borough,washington la northbound lanes,S
both,Gloucester,west of eagle point rd,west of eagle point rd,0,3401578800,,39.86122,19,2014,-75.210352,113101,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=113101,11/6/14,Bicycle 2,West Deptford Township,riverwinds drive trail,S
north,Philadelphia,tasker st,12th st,0,4210160112,,39.929328,114,2011,-75.16409,79141,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79141,7/6/11,Bicycle 1,South,passyunk ave,
north,Philadelphia,wharton st,reed st,0,4210160112,Monday July 4: Independence Day Holiday,39.936,24,2011,-75.185822,79148,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79148,6/29/11,Bicycle 1,South,25th st northbound lanes,
north,Philadelphia,south st,bainbridge st,0,4210160103,,39.941598,194,2010,-75.150797,71761,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71761,11/11/10,Bicycle 1,Central,5th st,
south,Philadelphia,wharton st,reed st,0,4210160112,Monday July 4: Independence Day Holiday,39.936012,26,2011,-75.185897,79149,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79149,6/29/11,Bicycle 1,South,25th st southbound lanes,
east,Philadelphia,6th st,7th st,0,4210160112,,39.935284,112,2011,-75.15466,79155,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79155,7/29/11,Bicycle 1,South,washington ave eastbound lanes,
west,Philadelphia,6th st,7th st,0,4210160112,Monday July 4: Independence Day Holiday,39.935371,81,2011,-75.154606,79156,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79156,7/1/11,Bicycle 1,South,washington ave westbound lanes
east,Philadelphia,pa 291 broad st,15th st,0,4210160112,,39.937913,72,2011,-75.167722,79159,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79159,7/6/11,Bicycle 1,South,washington ave eastbound lanes
north,Philadelphia,us 1 city ave,overbrook ave,0,4210160106,,39.995271,4,2011,-75.234048,79198,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79198,7/20/11,Bicycle 1,West Park,54th st northbound lanes
south,Philadelphia,us 1 city ave,overbrook ave,0,4210160106,,39.995271,4,2011,-75.234134,79199,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79199,7/20/11,Bicycle 1,West Park,54th st southbound lanes
north,Philadelphia,monument rd,parkside ave,0,4210160106,,39.994909,6,2011,-75.218121,79202,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79202,8/18/11,Bicycle 1,West Park,belmont ave northbound lanes
north,Philadelphia,states dr,lansdowne dr,0,4210160106,,39.983553,35,2011,-75.214993,79206,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79206,8/17/11,Bicycle 1,West Park,belmont ave northbound lanes + trail
south,Philadelphia,states dr,lansdowne dr,0,4210160106,,39.983512,26,2011,-75.215079,79207,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79207,8/17/11,Bicycle 1,West Park,belmont ave southbound lanes + trail
east,Philadelphia,"""g"" st","""f"" st",0,4210160101,,39.996869,92,2011,-75.116562,79182,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79182,7/13/11,Bicycle 1,North,allegheny ave eastbound lanes
west,Philadelphia,"""g"" st","""f"" st",0,4210160101,,39.996923,78,2011,-75.116546,79183,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79183,7/13/11,Bicycle 1,North,allegheny ave westbound lanes
west,Philadelphia,23rd st,schuylkill ave,0,4210160103,,39.95128,650,2010,-75.17997,71562,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71562,9/23/10,Bicycle 1,Central,walnut st bridge
east,Philadelphia,castor ave,"""m"" st",0,4210160101,,40.01354,23,2011,-75.099176,79186,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79186,7/13/11,Bicycle 1,North,cayuga st eastbound lanes
west,Philadelphia,castor ave,"""m"" st",0,4210160101,,40.013597,12,2011,-75.09917,79187,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79187,7/13/11,Bicycle 1,North,cayuga st westbound lanes
